1996;Amir Pnueli;For seminal work introducing temporal logic into computing science and for outstanding contributions to program and systems verification.[35]
1997;Douglas Engelbart;For an inspiring vision of the future of interactive computing and the invention of key technologies to help realize this vision.[36]
1998;Jim Gray;For seminal contributions to database and transaction processing research and technical leadership in system implementation.
1999;Frederick P. Brooks;For landmark contributions to computer architecture, operating systems, and software engineering.
2000;Andrew Yao;In recognition of his fundamental contributions to the theory of computation, including the complexity-based theory of pseudorandom number generation, cryptography, and communication complexity.
2001;Ole-Johan Dahl;For ideas fundamental to the emergence of object-oriented programming, through their design of the programming languages Simula I and Simula 67.
2001;Kristen Nygaard;
2002;Ron Rivest;For their ingenious contribution for making public-key cryptography useful in practice.
2002;Adi Shamir;
2002;Leonard Adleman;
2003;Alan Kay;For pioneering many of the ideas at the root of contemporary object-oriented programming languages, leading the team that developed Smalltalk, and for fundamental contributions to personal computing.
2004;Vint Cerf;For pioneering work on internetworking, including the design and implementation of the Internet's basic communications protocols, TCP/IP, and for inspired leadership in networking.
2004;Bob Kahn;
2005;Peter Naur;For fundamental contributions to programming language design and the definition of ALGOL 60, to compiler design, and to the art and practice of computer programming.
2006;Frances E. Allen;For pioneering contributions to the theory and practice of optimizing compiler techniques that laid the foundation for modern optimizing compilers and automatic parallel execution.
2007;Edmund M. Clarke;For their roles in developing model checking into a highly effective verification technology, widely adopted in the hardware and software industries.[37]
2007;E. Allen Emerson;
2007;Joseph Sifakis;
2008;Barbara Liskov;For contributions to practical and theoretical foundations of programming language and system design, especially related to data abstraction, fault tolerance, and distributed computing.
2009;Charles P. Thacker;For his pioneering design and realization of the Xerox Alto, the first modern personal computer, and in addition for his contributions to the Ethernet and the Tablet PC.
2010;Leslie Valiant;For transformative contributions to the theory of computation, including the theory of probably approximately correct (PAC) learning, the complexity of enumeration and of algebraic computation, and the theory of parallel and distributed computing.
2011;Judea Pearl[38];For fundamental contributions to artificial intelligence through the development of a calculus for probabilistic and causal reasoning.[39]
2012;Silvio Micali;For transformative work that laid the complexity-theoretic foundations for the science of cryptography and in the process pioneered new methods for efficient verification of mathematical proofs in complexity theory.[40]
2012;Shafi Goldwasser;
2013;Leslie Lamport;For fundamental contributions to the theory and practice of distributed and concurrent systems, notably the invention of concepts such as causality and logical clocks, safety and liveness, replicated state machines, and sequential consistency.[41][42]
2014;Michael Stonebraker;For fundamental contributions to the concepts and practices underlying modern database systems.[43]
2015;Whitfield Diffie;"For fundamental contributions to modern cryptography. Diffie and Hellman's groundbreaking 1976 paper, ""New Directions in Cryptography,""[44] introduced the ideas of public-key cryptography and digital signatures, which are the foundation for most regularly-used security protocols on the Internet today.[45]"
2015;Martin Hellman;
2016;Tim Berners-Lee;For inventing the World Wide Web, the first web browser, and the fundamental protocols and algorithms allowing the Web to scale.[46]
2017;John L. Hennessy;For pioneering a systematic, quantitative approach to the design and evaluation of computer architectures with enduring impact on the microprocessor industry.[47]
2017;David Patterson;
2018;Yoshua Bengio;For conceptual and engineering breakthroughs that have made deep neural networks a critical component of computing.[48]
2018;Geoffrey Hinton;
2018;Yann LeCun;
2019;Edwin Catmull;For fundamental contributions to 3-D computer graphics, and the revolutionary impact of these techniques on computer-generated imagery (CGI) in filmmaking and other applications.[49]
2019;Pat Hanrahan;
2020;Alfred Aho;For fundamental algorithms and theory underlying programming language implementation and for synthesizing these results and those of others in their highly influential books, which educated generations of computer scientists.[50]
2020;Jeffrey Ullman;
